"NumeroExpedient","CodiDistricte","DiaSetmana","Any","MesAny","NomMes","DiaMes","HoraDia","NumeroMorts","NumeroLesionatsLleus","NumeroLesionatsGreus","NumeroVictimes","NumeroVehiclesImplicats","CoordenadaUTM_X","CoordenadaUTM_Y"
"2014S002293","1","Dv",2014,3,"Marc",28,16,0,1,0,1,1,430900,4581199
"2014S001081","1","Dc",2014,2,"Febrer",12,2,0,1,0,1,2,430131,4581362
"2014S006769","1","Ds",2014,9,"Setembre",20,23,0,1,0,1,4,430768,4581538
"2014S004768","1","Dg",2014,6,"Juny",29,18,0,1,0,1,1,430145,4581354
"2014S007492","1","Dv",2014,10,"Octubre",17,8,0,1,0,1,2,430696,4580942
"2014S001894","1","Dv",2014,3,"Marc",14,12,0,1,0,1,2,431258,4580950
"2014S005467","1","Dc",2014,7,"Juliol",23,14,0,0,0,0,2,430291,4581536
"2014S006721","1","Dv",2014,9,"Setembre",19,5,0,1,0,1,4,430896,4581679
"2014S004292","1","Dc",2014,6,"Juny",11,12,0,2,0,2,1,430273,4581615
"2014S007519","1","Dv",2014,10,"Octubre",17,22,0,1,0,1,2,431289,4582036
"2014S008076","1","Dm",2014,11,"Novembre",4,18,0,1,0,1,2,430189,4581877
"2014S006976","1","Dl",2014,9,"Setembre",29,15,0,1,0,1,1,430250,4582109
"2014S006015","1","Dg",2014,8,"Agost",17,20,0,1,0,1,1,430756,4581938
"2014S003643","1","Ds",2014,5,"Maig",17,22,0,3,0,3,1,430893,4581748
"2014S005866","1","Dg",2014,8,"Agost",10,20,0,2,0,2,1,431653,4581582
"2014S008400","1","Ds",2014,11,"Novembre",15,21,0,2,0,2,3,431570,4581748
"2014S000037","1","Dv",2014,1,"Gener",3,6,0,1,0,1,1,431591,4581563
"2014S005596","1","Dm",2014,7,"Juliol",29,12,0,1,0,1,2,431461,4581269
"2014S009489","1","Dm",2014,12,"Desembre",23,10,0,1,0,1,2,431336,4580997
"2014S006648","1","Dm",2014,9,"Setembre",16,16,0,1,0,1,2,431053,4581502
"2014S001732","1","Dg",2014,3,"Marc",9,1,0,0,0,0,2,431758,4581564
"2014S004142","1","Dj",2014,6,"Juny",5,17,0,3,0,3,2,431520,4581243
"2014S006219","1","Dj",2014,8,"Agost",28,22,0,0,0,0,1,431291,4581703
"2014S002717","1","Dj",2014,4,"Abril",10,22,0,2,0,2,1,431410,4581077
"2014S005028","1","Dl",2014,7,"Juliol",7,22,0,1,0,1,1,432907,4582097
"2014S009366","1","Dv",2014,12,"Desembre",19,13,0,1,0,1,1,431223,4582103
"2014S000608","1","Dg",2014,1,"Gener",26,12,0,1,0,1,10,431147,4582171
"2014S002007","1","Dm",2014,3,"Marc",18,12,0,1,0,1,3,431095,4582234
"2014S009637","1","Dm",2014,12,"Desembre",30,5,0,0,0,0,1,432766,4582127
"2014S004876","1","Dj",2014,7,"Juliol",3,10,0,1,0,1,1,432795,4582156
"2014S000135","1","Dc",2014,1,"Gener",8,13,0,1,0,1,1,431068,4582224
"2014S004651","1","Dl",2014,6,"Juny",23,21,0,1,0,1,2,432970,4582192
"2014S003381","1","Dj",2014,5,"Maig",8,15,0,1,0,1,1,432643,4581596
"2014S002504","1","Dv",2014,4,"Abril",4,18,0,1,0,1,2,432758,4581836
"2014S003827","1","Dm",2014,5,"Maig",13,18,0,2,0,2,2,432758,4581836
"2014S004024","1","Dg",2014,6,"Juny",1,15,0,0,0,0,2,432520,4581522
"2014S007200","1","Dg",2014,10,"Octubre",5,12,0,1,0,1,3,432704,4582076
"2014S000927","1","Dj",2014,2,"Febrer",6,19,0,1,0,1,2,431949,4581626
"2014S002036","1","Dc",2014,3,"Marc",19,13,0,1,0,1,1,431229,4582072
"2014S008634","1","Dl",2014,11,"Novembre",24,14,0,1,0,1,2,431825,4581775
"2014S007565","1","Dg",2014,10,"Octubre",19,16,0,1,0,1,2,431749,4581607
"2014S008001","1","Ds",2014,11,"Novembre",1,19,0,2,0,2,1,431796,4582392
"2014S003619","1","Dv",2014,5,"Maig",16,22,0,4,0,4,2,431742,4581619
"2014S002768","1","Dg",2014,4,"Abril",13,0,0,1,0,1,2,431742,4581619
"2014S003452","1","Ds",2014,5,"Maig",10,20,0,2,0,2,2,431742,4581619
"2014S003786","1","Dv",2014,5,"Maig",23,13,0,2,0,2,2,431836,4581836
"2014S004321","1","Dj",2014,6,"Juny",12,12,0,3,0,3,2,432372,4581890
"2014S008738","1","Dj",2014,11,"Novembre",27,21,0,0,0,0,2,432315,4581318
"2014S008681","1","Dc",2014,11,"Novembre",26,12,0,0,0,0,2,431448,4582256
"2014S001571","1","Dg",2014,3,"Marc",2,13,0,1,0,1,1,431633,4581715
"2014S000239","1","Dg",2014,1,"Gener",12,0,0,1,0,1,2,431421,4581932
"2014S005846","1","Ds",2014,8,"Agost",9,14,0,4,0,4,2,431774,4582306
"2014S006983","1","Dl",2014,9,"Setembre",29,19,0,1,0,1,1,431727,4582345
"2014S001026","2","Dl",2014,2,"Febrer",10,12,0,1,0,1,2,429482,4581047
"2014S008418","2","Dl",2014,11,"Novembre",17,7,0,1,0,1,2,429703,4580953
"2014S002949","1","Dm",2014,4,"Abril",22,17,0,1,0,1,1,431721,4582619
"2014S005708","2","Ds",2014,8,"Agost",2,20,0,1,0,1,2,429092,4581032
"2014S003696","2","Dm",2014,5,"Maig",20,7,0,1,0,1,2,429268,4581221
"2014S005571","2","Dg",2014,7,"Juliol",27,19,0,1,0,1,2,429354,4581176
"2014S008510","2","Dc",2014,11,"Novembre",19,19,0,1,0,1,1,429296,4581252
"2014S001838","1","Dj",2014,3,"Marc",13,9,0,2,0,2,1,431652,4582396
"2014S003858","2","Dl",2014,5,"Maig",26,12,0,1,0,1,2,429354,4581311
"2014S001038","2","Dl",2014,2,"Febrer",10,19,0,1,0,1,2,429410,4581180
"2014S003684","2","Dl",2014,5,"Maig",19,21,0,1,0,1,2,429517,4580955
"2014S004361","1","Dv",2014,6,"Juny",13,15,0,2,0,2,3,431308,4582566
"2014S000811","1","Dl",2014,2,"Febrer",3,14,0,0,0,0,1,431692,4582196
"2014S000142","1","Dc",2014,1,"Gener",8,17,0,0,0,0,1,431695,4582199
"2014S005615","1","Dc",2014,7,"Juliol",30,9,0,2,0,2,1,431840,4582238
"2014S006126","1","Ds",2014,8,"Agost",23,21,0,1,0,1,2,431951,4582125
"2014S000223","2","Ds",2014,1,"Gener",11,11,0,1,0,1,2,430124,4582066
"2014S000905","2","Dj",2014,2,"Febrer",6,11,0,1,0,1,2,430124,4582066
"2014S002904","2","Ds",2014,4,"Abril",19,6,0,2,0,2,2,430124,4582066
"2014S009536","2","Dc",2014,12,"Desembre",24,18,0,1,0,1,2,430124,4582066
"2014S007608","2","Dl",2014,10,"Octubre",20,16,0,1,0,1,2,428502,4582548
"2014S001720","2","Ds",2014,3,"Marc",8,14,0,1,0,1,2,430126,4581880
"2014S006452","2","Dl",2014,9,"Setembre",8,12,0,1,0,1,2,429575,4581301
"2014S005951","2","Dj",2014,8,"Agost",14,16,0,1,0,1,2,430100,4581699
"2014S001606","2","Dm",2014,3,"Marc",4,9,0,1,0,1,2,430459,4580961
"2014S000026","2","Dj",2014,1,"Gener",2,15,0,1,0,1,2,429547,4581362
"2014S005832","2","Dv",2014,8,"Agost",8,14,0,1,1,2,1,428532,4582208
"2014S003863","2","Dl",2014,5,"Maig",26,13,0,1,0,1,2,429965,4581536
"2014S003819","2","Ds",2014,5,"Maig",24,9,0,1,0,1,1,429960,4580950
"2014S003074","2","Ds",2014,4,"Abril",26,19,0,1,0,1,2,429486,4581437
